,name,clouds,countries,dates,humidity,latitude,longitude,max temp,windiness
0,Vao,100,EE,1562786575,86,59.1,26.19,12.78,4.5
1,Biak,100,ID,1562752538,97,-0.91,122.88,17.18,2.01
2,Saskylakh,0,RU,0,72,71.97,114.09,16.98,5.11
3,Ushuaia,40,AR,1562703779,93,-54.81,-68.31,2.0,2.1
4,Mount Isa,90,AU,1562746513,42,-20.73,139.49,18.0,4.1
5,Khatanga,100,RU,0,88,71.98,102.47,9.58,2.59
6,Bluff,86,AU,1562743887,91,-23.58,149.07,15.48,0.84
7,Touros,20,BR,1562703710,83,-5.2,-35.46,25.0,3.1
8,Norman Wells,40,CA,1562742384,42,65.28,-126.83,19.0,3.1
9,Tasiilaq,40,GL,1562721595,81,65.61,-37.64,6.0,4.6
10,Bowen,90,AU,1562744490,88,-20.01,148.25,19.44,1.0
11,Hermanus,0,ZA,1562687214,98,-34.42,19.24,12.78,6.63
12,Shingu,95,JP,1562753351,97,33.72,135.99,18.08,1.58
13,Devils Lake,90,US,1562726145,83,48.11,-98.87,21.0,3.1
14,Hambantota,23,LK,1562763257,82,6.12,81.12,28.08,5.51
15,Ribeira Grande,20,PT,1562707271,83,38.52,-28.7,23.0,6.2
16,Bethel,90,US,1562746345,88,60.79,-161.76,23.0,4.1
17,Malanje,15,AO,1562690839,25,-9.54,16.35,17.08,1.11
18,Cape Town,0,ZA,1562687483,93,-33.93,18.42,13.33,2.6
19,Fairbanks,75,US,1562746737,30,64.84,-147.72,27.78,3.1
20,Saint George,40,GR,1562781569,57,39.45,22.34,29.44,0.9
21,Clyde River,1,CA,0,58,70.47,-68.59,15.0,4.1
22,Barrow,0,AR,1562705689,67,-38.31,-60.23,11.08,2.4
23,Nhulunbuy,33,AU,1562748077,93,-12.18,136.78,19.0,4.44
24,Punta Arenas,90,CL,1562704947,100,-53.16,-70.91,3.0,1.5
25,Ponta do Sol,0,BR,1562704631,56,-20.63,-46.0,14.98,2.37
26,Yellowknife,90,CA,1562736224,58,62.45,-114.38,14.0,4.6
